shipment_id,Time,step_index,scenario_name,Front_Top,Front_Middle,Front_Bottom,Middle_Top,Middle_Middle,Middle_Bottom,Rear_Top,Rear_Middle,Rear_Bottom,sconf,coverage_time,ambient_temp,door_open,speed_kmh,cooling_state,true_core_temp,cooling_effectiveness,risk_level,y_next_60_R2,eta_to_R2_60
SYN_SHIP_001,2026-06-01 13:00:00,30,NORMAL,2.239,1.564,1.277,2.246,1.665,1.288,2.407,1.832,1.683,1.0,1.0,18.79,0,81.4,NORMAL,1.623,0.981,0.0,0.0,
SYN_SHIP_001,2026-06-01 13:10:00,31,NORMAL,2.213,1.672,1.188,2.326,1.49,1.338,2.539,1.713,1.572,1.0,1.0,19.39,0,71.3,NORMAL,1.621,0.939,0.0,0.0,
SYN_SHIP_001,2026-06-01 13:20:00,32,NORMAL,2.145,1.784,1.387,2.381,1.708,1.392,2.621,1.879,1.72,1.0,1.0,20.05,0,77.6,NORMAL,1.613,0.922,0.0,0.0,
SYN_SHIP_001,2026-06-01 13:30:00,33,NORMAL,2.302,1.691,1.389,2.388,1.637,1.42,2.6,1.968,1.684,1.0,1.0,19.66,0,70.7,NORMAL,1.629,0.995,0.0,0.0,
SYN_SHIP_001,2026-06-01 13:40:00,34,NORMAL,2.27,1.66,1.332,2.088,1.666,1.382,2.616,1.943,1.622,1.0,1.0,19.59,0,70.8,NORMAL,1.654,0.974,0.0,0.0,
SYN_SHIP_001,2026-06-01 13:50:00,35,NORMAL,2.353,1.576,1.368,2.331,1.609,1.413,2.585,1.724,1.62,1.0,1.0,19.94,0,84.6,NORMAL,1.653,0.953,0.0,0.0,
SYN_SHIP_001,2026-06-01 14:00:00,36,NORMAL,2.315,1.529,1.346,2.559,1.754,1.508,2.547,1.878,1.767,1.0,1.0,20.12,0,82.6,NORMAL,1.693,0.931,0.0,0.0,
SYN_SHIP_001,2026-06-01 14:10:00,37,NORMAL,2.34,1.772,1.337,2.358,1.812,1.576,2.624,1.918,1.796,1.0,1.0,20.04,0,79.7,NORMAL,1.688,0.967,0.0,0.0,
SYN_SHIP_001,2026-06-01 14:20:00,38,NORMAL,2.337,1.579,1.65,2.231,1.745,1.439,2.717,1.922,1.767,1.0,1.0,20.9,0,76.8,NORMAL,1.673,0.952,0.0,0.0,
SYN_SHIP_001,2026-06-01 14:30:00,39,NORMAL,2.445,1.689,1.453,2.408,1.734,1.426,2.6,1.908,1.833,1.0,1.0,20.66,0,76.8,NORMAL,1.693,0.922,0.0,0.0,
SYN_SHIP_001,2026-06-01 14:40:00,40,NORMAL,2.318,1.599,1.427,2.313,1.579,1.454,2.796,1.896,1.736,1.0,1.0,20.62,0,75.3,NORMAL,1.698,0.979,0.0,0.0,
SYN_SHIP_001,2026-06-01 14:50:00,41,NORMAL,2.407,1.567,1.534,2.403,1.722,1.499,2.534,1.972,1.781,1.0,1.0,20.77,0,68.5,NORMAL,1.707,0.964,0.0,0.0,
SYN_SHIP_001,2026-06-01 15:00:00,42,NORMAL,2.352,1.811,1.384,2.458,1.83,1.524,2.541,1.809,1.751,1.0,1.0,20.3,0,77.5,NORMAL,1.73,0.95,0.0,0.0,
SYN_SHIP_001,2026-06-01 15:10:00,43,NORMAL,2.452,1.481,1.531,2.46,1.664,1.528,2.749,2.072,1.919,1.0,1.0,20.87,0,84.4,NORMAL,1.726,0.933,0.0,0.0,
SYN_SHIP_001,2026-06-01 15:20:00,44,NORMAL,2.363,1.731,1.251,2.59,1.845,1.574,2.597,1.976,1.765,1.0,1.0,20.95,0,66.0,NORMAL,1.736,0.931,0.0,0.0,
SYN_SHIP_001,2026-06-01 15:30:00,45,NORMAL,2.315,1.626,1.43,2.362,1.687,1.552,2.616,1.809,1.691,1.0,1.0,20.94,0,69.9,NORMAL,1.693,0.989,0.0,0.0,
SYN_SHIP_001,2026-06-01 15:40:00,46,NORMAL,2.352,1.59,1.477,2.544,1.609,1.475,2.696,1.885,1.72,1.0,1.0,20.74,0,77.2,NORMAL,1.684,0.938,0.0,0.0,
SYN_SHIP_001,2026-06-01 15:50:00,47,NORMAL,2.267,1.629,1.561,2.41,1.747,1.454,2.584,1.819,1.693,1.0,1.0,21.36,0,75.1,NORMAL,1.721,0.935,0.0,0.0,
SYN_SHIP_001,2026-06-01 16:00:00,48,NORMAL,2.371,1.622,1.599,2.398,1.859,1.593,2.596,1.862,1.839,1.0,1.0,22.13,0,69.3,NORMAL,1.728,0.974,0.0,0.0,
SYN_SHIP_001,2026-06-01 16:10:00,49,NORMAL,2.283,1.747,1.287,2.506,1.787,1.548,2.683,1.829,1.77,1.0,1.0,21.55,0,66.5,NORMAL,1.749,0.995,0.0,0.0,
SYN_SHIP_001,2026-06-01 16:20:00,50,NORMAL,2.403,1.639,1.354,2.408,1.646,1.639,2.731,1.926,1.839,1.0,1.0,21.58,0,80.7,NORMAL,1.735,0.99,0.0,0.0,
SYN_SHIP_001,2026-06-01 16:30:00,51,NORMAL,2.326,1.843,1.532,2.642,1.784,1.552,2.784,1.996,1.922,1.0,1.0,22.45,0,78.8,NORMAL,1.741,0.959,0.0,0.0,
SYN_SHIP_001,2026-06-01 16:40:00,52,NORMAL,2.538,1.772,1.432,2.602,1.667,1.609,2.84,1.916,1.964,1.0,1.0,22.54,0,66.1,NORMAL,1.761,0.972,0.0,0.0,
SYN_SHIP_001,2026-06-01 16:50:00,53,NORMAL,2.544,1.693,1.504,2.493,1.872,1.553,2.618,2.078,1.78,1.0,1.0,23.28,0,76.1,NORMAL,1.771,0.957,0.0,0.0,
SYN_SHIP_001,2026-06-01 17:00:00,54,NORMAL,2.459,1.733,1.671,2.628,1.801,1.463,2.818,1.854,1.852,1.0,1.0,22.54,0,72.9,NORMAL,1.781,0.981,0.0,0.0,
SYN_SHIP_001,2026-06-01 17:10:00,55,NORMAL,2.522,1.928,1.639,2.491,1.88,1.536,2.863,2.027,1.903,1.0,1.0,23.19,0,66.2,NORMAL,1.808,0.98,0.0,0.0,
SYN_SHIP_001,2026-06-01 17:20:00,56,NORMAL,2.412,1.849,1.427,2.513,1.616,1.596,2.782,1.996,1.902,1.0,1.0,22.76,0,73.7,NORMAL,1.782,0.942,0.0,0.0,
SYN_SHIP_001,2026-06-01 17:30:00,57,NORMAL,2.549,1.835,1.615,2.501,1.867,1.669,2.78,2.086,1.882,1.0,1.0,22.8,0,82.0,NORMAL,1.829,0.941,0.0,0.0,
SYN_SHIP_001,2026-06-01 17:40:00,58,NORMAL,2.472,1.577,1.469,2.676,1.725,1.647,2.719,2.019,1.916,1.0,1.0,22.37,0,78.3,NORMAL,1.822,0.965,0.0,0.0,
SYN_SHIP_001,2026-06-01 17:50:00,59,NORMAL,2.521,1.75,1.521,2.753,1.927,1.683,2.856,2.042,1.867,1.0,1.0,22.54,0,76.8,NORMAL,1.824,0.934,0.0,0.0,
SYN_SHIP_001,2026-06-01 18:00:00,60,NORMAL,2.643,1.868,1.51,2.535,1.543,1.629,2.822,1.971,1.82,1.0,1.0,23.01,0,81.5,NORMAL,1.808,0.993,0.0,0.0,
SYN_SHIP_001,2026-06-01 18:10:00,61,NORMAL,2.208,1.827,1.471,2.511,1.877,1.589,2.758,1.913,1.786,1.0,1.0,23.18,0,70.2,NORMAL,1.792,0.948,0.0,0.0,
SYN_SHIP_001,2026-06-01 18:20:00,62,NORMAL,2.635,1.845,1.646,2.554,1.796,1.626,2.848,1.989,1.864,1.0,1.0,24.24,0,72.6,NORMAL,1.82,0.997,0.0,0.0,
SYN_SHIP_001,2026-06-01 18:30:00,63,NORMAL,2.476,1.724,1.674,2.749,1.765,1.574,2.84,1.969,1.945,1.0,1.0,23.72,0,74.1,NORMAL,1.846,0.922,0.0,0.0,
SYN_SHIP_001,2026-06-01 18:40:00,64,NORMAL,2.523,1.767,1.545,2.455,1.737,1.589,2.837,2.041,1.802,1.0,1.0,23.94,0,72.5,NORMAL,1.858,0.941,0.0,0.0,
SYN_SHIP_001,2026-06-01 18:50:00,65,NORMAL,2.517,1.796,1.619,2.507,1.781,1.731,2.858,2.16,1.855,1.0,1.0,23.83,0,67.3,NORMAL,1.87,0.985,0.0,0.0,
SYN_SHIP_001,2026-06-01 19:00:00,66,NORMAL,2.562,1.928,1.654,2.582,1.828,1.551,2.944,2.088,1.992,1.0,1.0,23.99,0,83.9,NORMAL,1.862,0.999,0.0,0.0,
SYN_SHIP_001,2026-06-01 19:10:00,67,NORMAL,2.284,1.782,1.6,2.765,1.884,1.329,2.948,1.984,1.939,1.0,1.0,24.71,0,73.1,NORMAL,1.812,0.987,0.0,0.0,
SYN_SHIP_001,2026-06-01 19:20:00,68,NORMAL,2.36,1.649,1.748,2.67,1.897,1.569,2.971,1.944,1.946,1.0,1.0,24.55,0,65.3,NORMAL,1.844,0.945,0.0,0.0,
SYN_SHIP_001,2026-06-01 19:30:00,69,NORMAL,2.513,1.676,1.48,2.706,1.868,1.762,2.824,2.03,1.775,1.0,1.0,25.22,0,67.7,NORMAL,1.849,0.996,0.0,0.0,
SYN_SHIP_001,2026-06-01 19:40:00,70,NORMAL,2.571,1.828,1.58,2.693,1.773,1.661,2.694,1.999,1.945,1.0,1.0,24.6,0,83.5,NORMAL,1.853,0.923,0.0,0.0,
SYN_SHIP_001,2026-06-01 19:50:00,71,NORMAL,2.531,1.901,1.747,2.517,1.838,1.663,2.928,1.804,1.927,1.0,1.0,24.94,0,78.9,NORMAL,1.84,0.999,0.0,0.0,
SYN_SHIP_001,2026-06-01 20:00:00,72,NORMAL,2.626,1.764,1.69,2.687,1.725,1.641,2.989,2.152,1.861,1.0,1.0,24.91,0,71.0,NORMAL,1.812,0.984,0.0,0.0,
SYN_SHIP_001,2026-06-01 20:10:00,73,NORMAL,2.532,1.888,1.563,2.706,1.825,1.547,2.814,2.055,1.882,1.0,1.0,25.52,0,70.4,NORMAL,1.829,0.953,0.0,0.0,
SYN_SHIP_001,2026-06-01 20:20:00,74,NORMAL,2.424,1.899,1.716,2.585,1.81,1.676,2.928,2.015,1.907,1.0,1.0,25.54,0,70.9,NORMAL,1.844,0.947,0.0,0.0,
SYN_SHIP_001,2026-06-01 20:30:00,75,NORMAL,2.588,1.823,1.622,2.638,1.893,1.606,2.785,2.071,2.042,1.0,1.0,24.55,0,69.3,NORMAL,1.862,0.936,0.0,0.0,
SYN_SHIP_001,2026-06-01 20:40:00,76,NORMAL,2.649,1.795,1.625,2.677,1.779,1.682,2.952,2.04,1.911,1.0,1.0,25.27,0,83.9,NORMAL,1.866,0.986,0.0,0.0,
SYN_SHIP_001,2026-06-01 20:50:00,77,NORMAL,2.674,1.967,1.566,2.621,1.87,1.656,2.956,2.046,1.888,1.0,1.0,25.3,0,75.1,NORMAL,1.867,0.938,0.0,0.0,
SYN_SHIP_001,2026-06-01 21:00:00,78,NORMAL,2.651,1.67,1.696,2.392,1.911,1.902,2.835,2.177,1.91,1.0,1.0,24.77,0,78.3,NORMAL,1.87,0.975,0.0,0.0,
SYN_SHIP_001,2026-06-01 21:10:00,79,NORMAL,2.712,1.852,1.488,2.677,1.788,1.819,2.843,2.196,1.917,1.0,1.0,25.72,0,65.5,NORMAL,1.871,0.989,0.0,0.0,
SYN_SHIP_001,2026-06-01 21:20:00,80,NORMAL,2.589,1.778,1.71,2.676,1.907,1.733,2.938,2.143,1.951,1.0,1.0,25.27,0,70.3,NORMAL,1.852,0.984,0.0,0.0,
SYN_SHIP_001,2026-06-01 21:30:00,81,NORMAL,2.755,1.773,1.77,2.694,1.72,1.69,2.837,2.219,1.908,1.0,1.0,25.93,0,82.8,NORMAL,1.872,0.969,0.0,0.0,
SYN_SHIP_001,2026-06-01 21:40:00,82,NORMAL,2.422,1.774,1.534,2.772,1.963,1.616,2.901,2.114,1.971,1.0,1.0,24.45,0,76.1,NORMAL,1.881,0.954,0.0,0.0,
SYN_SHIP_001,2026-06-01 21:50:00,83,NORMAL,2.602,1.817,1.601,2.616,1.961,1.762,2.752,1.988,2.039,1.0,1.0,24.59,0,71.3,NORMAL,1.866,0.969,0.0,0.0,
SYN_SHIP_001,2026-06-01 22:00:00,84,NORMAL,2.503,1.715,1.664,2.718,1.923,1.759,3.003,2.094,1.757,1.0,1.0,25.15,0,70.2,NORMAL,1.865,0.942,0.0,0.0,
SYN_SHIP_001,2026-06-01 22:10:00,85,NORMAL,2.415,1.794,1.621,2.561,1.901,1.545,2.806,2.077,1.898,1.0,1.0,24.54,0,71.7,NORMAL,1.856,0.956,0.0,0.0,
SYN_SHIP_001,2026-06-01 22:20:00,86,NORMAL,2.597,1.84,1.561,2.589,1.847,1.777,3.052,2.129,1.959,1.0,1.0,25.09,0,65.1,NORMAL,1.89,0.956,0.0,0.0,
SYN_SHIP_001,2026-06-01 22:30:00,87,NORMAL,2.602,1.89,1.686,2.737,1.878,1.709,2.836,2.103,1.997,1.0,1.0,24.97,0,65.9,NORMAL,1.905,0.931,0.0,0.0,
SYN_SHIP_001,2026-06-01 22:40:00,88,NORMAL,2.606,1.795,1.552,2.713,1.828,1.636,2.978,2.127,1.869,1.0,1.0,25.59,0,73.3,NORMAL,1.879,0.99,0.0,0.0,
SYN_SHIP_001,2026-06-01 22:50:00,89,NORMAL,2.506,1.742,1.721,2.753,1.894,1.695,2.916,2.023,1.962,1.0,1.0,25.11,0,69.4,NORMAL,1.884,0.992,0.0,0.0,
SYN_SHIP_001,2026-06-01 23:00:00,90,NORMAL,2.686,2.089,1.618,2.688,1.735,1.622,2.88,2.165,1.797,1.0,1.0,25.47,0,77.8,NORMAL,1.852,0.998,0.0,0.0,
SYN_SHIP_001,2026-06-01 23:10:00,91,NORMAL,2.478,1.763,1.619,2.628,1.877,1.504,2.871,2.199,2.04,1.0,1.0,25.14,0,68.1,NORMAL,1.862,0.959,0.0,0.0,
SYN_SHIP_001,2026-06-01 23:20:00,92,NORMAL,2.576,2.047,1.501,2.778,1.802,1.577,2.797,2.236,1.939,1.0,1.0,25.19,0,68.7,NORMAL,1.876,0.965,0.0,0.0,
SYN_SHIP_001,2026-06-01 23:30:00,93,NORMAL,2.602,1.896,1.796,2.723,1.845,1.65,2.946,2.1,1.982,1.0,1.0,25.26,0,73.4,NORMAL,1.897,0.96,0.0,0.0,
SYN_SHIP_001,2026-06-01 23:40:00,94,NORMAL,2.577,1.852,1.635,2.613,1.827,1.52,2.771,2.135,2.068,1.0,1.0,24.41,0,68.2,NORMAL,1.88,0.951,0.0,0.0,
SYN_SHIP_001,2026-06-01 23:50:00,95,NORMAL,2.48,1.821,1.61,2.789,1.758,1.642,2.885,2.16,1.839,1.0,1.0,24.85,0,75.1,NORMAL,1.858,0.967,0.0,0.0,
SYN_SHIP_001,2026-06-02 00:00:00,96,NORMAL,2.482,1.901,1.684,2.735,1.736,1.573,2.923,2.019,1.984,1.0,1.0,24.99,0,70.3,NORMAL,1.872,0.997,0.0,0.0,
SYN_SHIP_001,2026-06-02 00:10:00,97,NORMAL,2.49,1.768,1.65,2.616,1.898,1.717,2.859,2.104,2.022,1.0,1.0,24.39,0,74.1,NORMAL,1.867,0.994,0.0,0.0,
SYN_SHIP_001,2026-06-02 00:20:00,98,NORMAL,2.642,1.884,1.535,2.784,1.892,1.731,2.851,2.099,2.015,1.0,1.0,24.38,0,72.1,NORMAL,1.853,0.999,0.0,0.0,
SYN_SHIP_001,2026-06-02 00:30:00,99,NORMAL,2.524,1.702,1.543,2.706,1.714,1.71,2.841,2.225,1.947,1.0,1.0,25.32,0,78.9,NORMAL,1.82,0.969,0.0,0.0,
SYN_SHIP_001,2026-06-02 00:40:00,100,NORMAL,2.578,1.826,1.696,2.549,1.929,1.696,2.74,2.219,1.893,1.0,1.0,23.88,0,68.9,NORMAL,1.88,0.93,0.0,0.0,
SYN_SHIP_001,2026-06-02 00:50:00,101,NORMAL,2.551,1.768,1.647,2.778,1.992,1.592,2.846,2.08,2.094,1.0,1.0,24.69,0,77.8,NORMAL,1.898,0.921,0.0,0.0,
SYN_SHIP_001,2026-06-02 01:00:00,102,NORMAL,2.687,2.005,1.743,2.624,2.011,1.753,3.126,2.214,1.873,1.0,1.0,24.17,0,71.0,NORMAL,1.945,0.993,0.0,0.0,
SYN_SHIP_001,2026-06-02 01:10:00,103,NORMAL,2.712,1.881,1.642,2.763,1.918,1.716,2.886,2.073,1.944,1.0,1.0,24.3,0,66.2,NORMAL,1.902,0.989,0.0,0.0,
SYN_SHIP_001,2026-06-02 01:20:00,104,NORMAL,2.609,1.802,1.572,2.696,1.832,1.647,2.971,2.058,2.051,1.0,1.0,24.1,0,70.9,NORMAL,1.899,0.966,0.0,0.0,
SYN_SHIP_001,2026-06-02 01:30:00,105,NORMAL,2.752,1.785,1.673,2.781,1.833,1.58,3.004,2.011,1.949,1.0,1.0,24.13,0,67.0,NORMAL,1.89,0.964,0.0,0.0,
SYN_SHIP_001,2026-06-02 01:40:00,106,NORMAL,2.564,1.726,1.564,2.549,1.75,1.516,2.794,2.061,1.874,1.0,1.0,23.56,0,74.4,NORMAL,1.859,0.999,0.0,0.0,
SYN_SHIP_001,2026-06-02 01:50:00,107,NORMAL,2.595,1.615,1.604,2.708,1.937,1.637,2.828,2.055,1.868,1.0,1.0,24.21,0,83.5,NORMAL,1.832,0.945,0.0,0.0,
SYN_SHIP_001,2026-06-02 02:00:00,108,NORMAL,2.481,1.928,1.642,2.776,1.782,1.583,2.955,2.088,1.963,1.0,1.0,23.08,0,70.2,NORMAL,1.867,0.965,0.0,0.0,
SYN_SHIP_001,2026-06-02 02:10:00,109,NORMAL,2.573,1.853,1.623,2.708,1.819,1.649,3.049,2.113,1.913,1.0,1.0,24.29,0,79.0,NORMAL,1.873,0.995,0.0,0.0,
SYN_SHIP_001,2026-06-02 02:20:00,110,NORMAL,2.646,1.789,1.664,2.584,1.756,1.468,2.999,2.012,1.958,1.0,1.0,23.56,0,67.7,NORMAL,1.864,0.963,0.0,0.0,
SYN_SHIP_001,2026-06-02 02:30:00,111,NORMAL,2.313,1.788,1.507,2.516,1.824,1.706,2.793,2.106,1.866,1.0,1.0,22.18,0,67.1,NORMAL,1.814,0.957,0.0,0.0,
SYN_SHIP_001,2026-06-02 02:40:00,112,NORMAL,2.37,1.724,1.563,2.549,1.841,1.535,2.67,2.002,1.786,1.0,1.0,22.4,0,74.8,NORMAL,1.773,0.998,0.0,0.0,
SYN_SHIP_001,2026-06-02 02:50:00,113,NORMAL,2.47,1.673,1.46,2.429,1.734,1.588,2.655,1.88,1.963,1.0,1.0,23.48,0,81.1,NORMAL,1.781,0.976,0.0,0.0,
SYN_SHIP_001,2026-06-02 03:00:00,114,NORMAL,2.522,1.717,1.789,2.619,1.832,1.621,2.829,1.954,1.888,1.0,1.0,22.4,0,80.9,NORMAL,1.783,0.974,0.0,0.0,
SYN_SHIP_001,2026-06-02 03:10:00,115,NORMAL,2.32,1.609,1.495,2.51,1.846,1.387,2.754,2.003,1.735,1.0,1.0,22.54,0,74.2,NORMAL,1.765,0.944,0.0,0.0,
SYN_SHIP_001,2026-06-02 03:20:00,116,NORMAL,2.454,1.842,1.596,2.483,1.65,1.431,2.603,1.972,1.965,1.0,1.0,22.37,0,68.0,NORMAL,1.77,0.94,0.0,0.0,
SYN_SHIP_001,2026-06-02 03:30:00,117,NORMAL,2.372,1.778,1.515,2.465,1.708,1.568,2.687,1.969,1.835,1.0,1.0,21.71,0,81.2,NORMAL,1.775,0.977,0.0,0.0,
SYN_SHIP_001,2026-06-02 03:40:00,118,NORMAL,2.441,1.713,1.482,2.569,1.703,1.635,2.813,2.012,1.731,1.0,1.0,21.81,0,73.1,NORMAL,1.763,0.927,0.0,0.0,
SYN_SHIP_001,2026-06-02 03:50:00,119,NORMAL,2.448,1.76,1.637,2.502,1.953,1.616,2.851,2.008,1.806,1.0,1.0,22.38,0,84.6,NORMAL,1.814,0.931,0.0,0.0,
SYN_SHIP_001,2026-06-02 04:00:00,120,NORMAL,2.443,1.838,1.603,2.543,1.844,1.625,2.599,2.018,1.922,1.0,1.0,21.5,0,83.4,NORMAL,1.805,0.991,0.0,0.0,
SYN_SHIP_001,2026-06-02 04:10:00,121,NORMAL,2.437,1.667,1.684,2.603,1.644,1.524,2.772,1.964,1.787,1.0,1.0,20.59,0,65.7,NORMAL,1.776,0.96,0.0,0.0,
SYN_SHIP_001,2026-06-02 04:20:00,122,NORMAL,2.336,1.593,1.419,2.407,1.688,1.53,2.762,1.873,1.624,1.0,1.0,21.02,0,82.5,NORMAL,1.753,0.952,0.0,0.0,
SYN_SHIP_001,2026-06-02 04:30:00,123,NORMAL,2.371,1.563,1.482,2.405,1.654,1.589,2.55,1.836,1.892,1.0,1.0,20.62,0,72.8,NORMAL,1.735,0.973,0.0,0.0,
SYN_SHIP_001,2026-06-02 04:40:00,124,NORMAL,2.409,1.679,1.425,2.436,1.672,1.553,2.646,2.131,1.802,1.0,1.0,21.24,0,80.5,NORMAL,1.71,0.941,0.0,0.0,
